iter	Passed	Remaining
907	8087	819
908	8104	811
909	8111	802
910	8122	793
911	8125	784
912	8132	774
913	8142	766
914	8151	757
915	8158	748
916	8173	739
917	8182	730
918	8184	721
919	8189	712
920	8204	703
921	8208	694
922	8216	685
923	8234	677
924	8242	668
925	8252	659
926	8256	650
927	8267	641
928	8284	633
929	8297	624
930	8301	615
931	8311	606
932	8320	597
933	8329	588
934	8339	579
935	8346	570
936	8351	561
937	8364	552
938	8371	543
939	8380	534
940	8397	526
941	8423	518
942	8437	510
943	8441	500
944	8444	491
945	8471	483
946	8473	474
947	8475	464
948	8477	455
949	8490	446
950	8509	438
951	8521	429
952	8539	421
953	8548	412
954	8561	403
955	8583	395
956	8592	386
957	8598	376
958	8617	368
959	8630	359
960	8643	350
961	8659	342
962	8670	333
963	8684	324
964	8701	315
965	8723	307
966	8729	297
967	8733	288
968	8736	279
969	8749	270
970	8756	261
971	8773	252
972	8789	243
973	8796	234
974	8803	225
975	8810	216
976	8819	207
977	8824	198
978	8831	189
979	8844	180
980	8848	171
981	8866	162
982	8868	153
983	8881	144
984	8883	135
985	8896	126
986	8899	117
987	8913	108
988	8923	99
989	8934	90
990	8940	81
991	8948	72
992	8961	63
993	8967	54
994	8984	45
995	8993	36
996	8996	27
997	8998	18
998	9008	9
999	9013	0
